="",="b"
="1",=""
="2009",="2495"
="2010",="2401"
="2011",="2394"
="2012",="2365"
="2013",="2272"
="2014",="2072"
="2015",="2177"
="2016",="2193"
="2017",="2323"
="2018",="2350"
="2019",="2384"
="2020",="2338"
="2021",="2075"
="2022",="2111"
="2023",="2001"
="Total",="33951"
="2",=""
="2009",="0"
="2010",="76"
="2011",="154"
="2012",="209"
="2013",="279"
="2014",="278"
="2015",="363"
="2016",="461"
="2017",="505"
="2018",="601"
="2019",="671"
="2020",="771"
="2021",="787"
="2022",="823"
="2023",="914"
="Total",="6892"
="3",=""
="2009",="0"
="2010",="92"
="2011",="91"
="2012",="110"
="2013",="125"
="2014",="123"
="2015",="138"
="2016",="150"
="2017",="161"
="2018",="1811"
="2019",="1829"
="2020",="1782"
="2021",="1700"
="2022",="1760"
="2023",="1703"
="Total",="11575"
="Total",=""
="2009",="2495"
="2010",="2569"
="2011",="2639"
="2012",="2684"
="2013",="2676"
="2014",="2473"
="2015",="2678"
="2016",="2804"
="2017",="2989"
="2018",="4762"
="2019",="4884"
="2020",="4891"
="2021",="4562"
="2022",="4694"
="2023",="4618"
="Total",="52418"
