="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p"
="Job Satisfaction",="0.202",="(0.005)",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Working Hours (Per a Week)",="",="",="",="-13.194",="(0.075)",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Working Days (Per a Week)",="",="",="",="",="",="",="-0.927",="(0.006)",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Average Working Hours (Per a day)",="",="",="",="",="",="",="",="",="",="-1.189",="(0.018)",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Wage rate (Per a Hour, 1000 Won)",="",="",="",="",="",="",="",="",="",="",="",="",="5.157",="(0.076)",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Monthly Wage",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="26.437",="(1.367)",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Paid Vacation Offerance",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.181",="(0.005)",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Public employee (=1 for Public Worker)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.041",="(0.002)",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="Temporary Contract",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.004",="(0.004)",="0.315",="",="",="",="",="",="",="",="",=""
="Atypical Contract",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.008",="(0.003)",="0.003",="",="",="",="",="",=""
="Year of Tenure",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.883",="(0.066)",="0.000",="",="",=""
="labor_shortage_rate",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.606",="(0.020)",="0.000"
