Working Days per Week,Non-Overtime Worker,Overtime Worker,Total
A Single Day,5.3333,0,5.3333
,[2.8935],[0],[2.8935]
,(0.194%),(0%),(0.132%)
Two Days,7.2991,0,7.2991
,[3.0393],[0],[3.0393]
,(0.918%),(0%),(0.622%)
Three Days,7.5536,17.2571,8.3353
,[2.6131],[1.6808],[3.6720]
,(2.25%),(0.414%),(1.658%)
Four Days,7.9696,15.5645,10.7931
,[2.0323],[3.6777],[4.5932]
,(2.732%),(3.394%),(2.946%)
Five Days,7.789,9.7999,7.9813
,[0.8404],[1.1168],[1.0524]
,(90.782%),(20.153%),(67.996%)
Six Days,5.6614,8.5461,8.2929
,[1.2667],[1.3470],[1.5692]
,(2.864%),(62.498%),(22.103%)
Seven Days,4.3214,7.2551,7.1418
,[1.3020],[1.6022],[1.6889]
,(0.259%),(13.541%),(4.544%)
Total,7.7095,8.8982,8.093
,[1.1085],[2.1464],[1.6209]
,(100%),(100%),(100%)
